region1,region2,Distance
NZ Canterbury,NZ Canterbury,0.0176639348
NZ Canterbury,NZ Canterbury,0.0176639348
NZ Canterbury,NZ Canterbury,0.0176639348
NZ Canterbury,NZ Canterbury,0.0011630445
NZ Auckland,NZ Canterbury,0.0147194279
NZ Auckland,NZ Canterbury,0.0141227691
NZ Auckland,NZ Canterbury,0.0153116241
NZ Auckland,NZ Canterbury,0.0159281248
NZ Auckland,NZ Canterbury,0.0153167996
NZ Auckland,NZ Canterbury,0.0171132087
NZ Auckland,NZ Canterbury,0.0183144105
NZ Canterbury,NZ Canterbury,0.0099684909
NZ Canterbury,NZ Canterbury,0.0093798089
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0153529800
NZ Canterbury,NZ Canterbury,0.0099684909
NZ Canterbury,NZ Canterbury,0.0099684909
NZ Canterbury,NZ Canterbury,0.0099684909
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0147146091
NZ Auckland,NZ Canterbury,0.0182686355
NZ Auckland,NZ Canterbury,0.0177007530
NZ Auckland,NZ Canterbury,0.0188622577
NZ Auckland,NZ Canterbury,0.0194854840
NZ Auckland,NZ Canterbury,0.0189019548
NZ Auckland,NZ Canterbury,0.0218787595
NZ Auckland,NZ Canterbury,0.0218787595
NZ Canterbury,NZ Canterbury,0.0017452015
NZ Canterbury,NZ Canterbury,0.0011630445
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0189131275
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0182627372
NZ Canterbury,NZ Canterbury,0.0105605573
NZ Auckland,NZ Canterbury,0.0176755379
NZ Auckland,NZ Canterbury,0.0171069582
NZ Auckland,NZ Canterbury,0.0182686355
NZ Auckland,NZ Canterbury,0.0188907952
NZ Auckland,NZ Canterbury,0.0183074389
NZ Auckland,NZ Canterbury,0.0212834910
NZ Auckland,NZ Canterbury,0.0212834910
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0087762127
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0183182580
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0093633411
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0093867293
