ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0120025	plasma membrane bounded cell projection	974	143	LdBPK_010520.1,LdBPK_020540.1,LdBPK_030110.1,LdBPK_030730.1,LdBPK_040970.1,LdBPK_050170.1,LdBPK_050380.1,LdBPK_050640.1,LdBPK_050690.1,LdBPK_050850.1,LdBPK_050920.1,LdBPK_060030.1,LdBPK_060090.1,LdBPK_060460.1,LdBPK_061080.1,LdBPK_070170.1,LdBPK_070830.1,LdBPK_090550.1,LdBPK_090810.1,LdBPK_091371.1,LdBPK_091580.1,LdBPK_100680.1,LdBPK_101040.1,LdBPK_101120.1,LdBPK_110390.1,LdBPK_110620.1,LdBPK_111090.1,LdBPK_111320.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120570.1,LdBPK_130510.1,LdBPK_130700.1,LdBPK_130720.1,LdBPK_130810.1,LdBPK_140430.1,LdBPK_150810.1,LdBPK_160160.1,LdBPK_161570.1,LdBPK_170490.1,LdBPK_171300.1,LdBPK_180300.1,LdBPK_181470.1,LdBPK_190360.1,LdBPK_190380.1,LdBPK_190450.1,LdBPK_190530.1,LdBPK_190760.1,LdBPK_191110.1,LdBPK_191140.1,LdBPK_200350.1,LdBPK_211270.1,LdBPK_211520.1,LdBPK_211600.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_212220.1,LdBPK_220050.1,LdBPK_220910.1,LdBPK_221150.1,LdBPK_221160.1,LdBPK_231250.1,LdBPK_240060.1,LdBPK_240370.1,LdBPK_241430.1,LdBPK_250360.1,LdBPK_250430.1,LdBPK_250680.1,LdBPK_250910.1,LdBPK_251070.1,LdBPK_251900.1,LdBPK_261880.1,LdBPK_262620.1,LdBPK_270600.1,LdBPK_270630.1,LdBPK_270900.1,LdBPK_271080.1,LdBPK_271700.1,LdBPK_271880.1,LdBPK_281000.1,LdBPK_281370.1,LdBPK_282560.1,LdBPK_282840.1,LdBPK_290110.1,LdBPK_290200.1,LdBPK_300820.1,LdBPK_310450.1,LdBPK_310890.1,LdBPK_320390.1,LdBPK_321050.1,LdBPK_321370.1,LdBPK_321710.1,LdBPK_321740.1,LdBPK_322000.1,LdBPK_322120.1,LdBPK_322610.1,LdBPK_322890.1,LdBPK_323350.1,LdBPK_323650.1,LdBPK_330400.1,LdBPK_331290.1,LdBPK_331300.1,LdBPK_333320.1,LdBPK_333330.1,LdBPK_340710.1,LdBPK_341240.1,LdBPK_341270.1,LdBPK_341310.1,LdBPK_341450.1,LdBPK_341640.1,LdBPK_341830.1,LdBPK_342360.1,LdBPK_350480.1,LdBPK_350560.1,LdBPK_351190.1,LdBPK_351400.1,LdBPK_352390.1,LdBPK_354260.1,LdBPK_354870.1,LdBPK_354930.1,LdBPK_361460.1,LdBPK_361550.1,LdBPK_361620.1,LdBPK_362130.1,LdBPK_362140.1,LdBPK_362170.1,LdBPK_362570.1,LdBPK_363300.1,LdBPK_363460.1,LdBPK_364060.1,LdBPK_364160.1,LdBPK_364280.1,LdBPK_364410.1,LdBPK_365150.1,LdBPK_365480.1,LdBPK_366110.1,LdBPK_366260.1,LdBPK_366270.1,LdBPK_366430.1,LdBPK_366510.1,LdBPK_366560.1,LdBPK_367190.1,LdBPK_367230.1,	14.7	1.18	1.26	0.013119559529	0.195278951981	1.0
GO:0042995	cell projection	974	143	LdBPK_010520.1,LdBPK_020540.1,LdBPK_030110.1,LdBPK_030730.1,LdBPK_040970.1,LdBPK_050170.1,LdBPK_050380.1,LdBPK_050640.1,LdBPK_050690.1,LdBPK_050850.1,LdBPK_050920.1,LdBPK_060030.1,LdBPK_060090.1,LdBPK_060460.1,LdBPK_061080.1,LdBPK_070170.1,LdBPK_070830.1,LdBPK_090550.1,LdBPK_090810.1,LdBPK_091371.1,LdBPK_091580.1,LdBPK_100680.1,LdBPK_101040.1,LdBPK_101120.1,LdBPK_110390.1,LdBPK_110620.1,LdBPK_111090.1,LdBPK_111320.1,LdBPK_120320.1,LdBPK_120530.1,LdBPK_120570.1,LdBPK_130510.1,LdBPK_130700.1,LdBPK_130720.1,LdBPK_130810.1,LdBPK_140430.1,LdBPK_150810.1,LdBPK_160160.1,LdBPK_161570.1,LdBPK_170490.1,LdBPK_171300.1,LdBPK_180300.1,LdBPK_181470.1,LdBPK_190360.1,LdBPK_190380.1,LdBPK_190450.1,LdBPK_190530.1,LdBPK_190760.1,LdBPK_191110.1,LdBPK_191140.1,LdBPK_200350.1,LdBPK_211270.1,LdBPK_211520.1,LdBPK_211600.1,LdBPK_211630.1,LdBPK_211800.1,LdBPK_212220.1,LdBPK_220050.1,LdBPK_220910.1,LdBPK_221150.1,LdBPK_221160.1,LdBPK_231250.1,LdBPK_240060.1,LdBPK_240370.1,LdBPK_241430.1,LdBPK_250360.1,LdBPK_250430.1,LdBPK_250680.1,LdBPK_250910.1,LdBPK_251070.1,LdBPK_251900.1,LdBPK_261880.1,LdBPK_262620.1,LdBPK_270600.1,LdBPK_270630.1,LdBPK_270900.1,LdBPK_271080.1,LdBPK_271700.1,LdBPK_271880.1,LdBPK_281000.1,LdBPK_281370.1,LdBPK_282560.1,LdBPK_282840.1,LdBPK_290110.1,LdBPK_290200.1,LdBPK_300820.1,LdBPK_310450.1,LdBPK_310890.1,LdBPK_320390.1,LdBPK_321050.1,LdBPK_321370.1,LdBPK_321710.1,LdBPK_321740.1,LdBPK_322000.1,LdBPK_322120.1,LdBPK_322610.1,LdBPK_322890.1,LdBPK_323350.1,LdBPK_323650.1,LdBPK_330400.1,LdBPK_331290.1,LdBPK_331300.1,LdBPK_333320.1,LdBPK_333330.1,LdBPK_340710.1,LdBPK_341240.1,LdBPK_341270.1,LdBPK_341310.1,LdBPK_341450.1,LdBPK_341640.1,LdBPK_341830.1,LdBPK_342360.1,LdBPK_350480.1,LdBPK_350560.1,LdBPK_351190.1,LdBPK_351400.1,LdBPK_352390.1,LdBPK_354260.1,LdBPK_354870.1,LdBPK_354930.1,LdBPK_361460.1,LdBPK_361550.1,LdBPK_361620.1,LdBPK_362130.1,LdBPK_362140.1,LdBPK_362170.1,LdBPK_362570.1,LdBPK_363300.1,LdBPK_363460.1,LdBPK_364060.1,LdBPK_364160.1,LdBPK_364280.1,LdBPK_364410.1,LdBPK_365150.1,LdBPK_365480.1,LdBPK_366110.1,LdBPK_366260.1,LdBPK_366270.1,LdBPK_366430.1,LdBPK_366510.1,LdBPK_366560.1,LdBPK_367190.1,LdBPK_367230.1,	14.7	1.18	1.26	0.013119559529	0.195278951981	1.0
GO:0035869	ciliary transition zone	43	11	LdBPK_040970.1,LdBPK_050690.1,LdBPK_140430.1,LdBPK_220050.1,LdBPK_321050.1,LdBPK_322610.1,LdBPK_331290.1,LdBPK_331300.1,LdBPK_341450.1,LdBPK_366510.1,LdBPK_367190.1,	25.6	2.05	2.44	0.0138722752773	0.195278951981	1.0
GO:0005815	microtubule organizing center	156	28	LdBPK_030110.1,LdBPK_050170.1,LdBPK_050380.1,LdBPK_050850.1,LdBPK_120570.1,LdBPK_130510.1,LdBPK_190380.1,LdBPK_190450.1,LdBPK_191140.1,LdBPK_211600.1,LdBPK_220050.1,LdBPK_250910.1,LdBPK_271880.1,LdBPK_282560.1,LdBPK_282840.1,LdBPK_290200.1,LdBPK_300820.1,LdBPK_310450.1,LdBPK_320390.1,LdBPK_321740.1,LdBPK_322000.1,LdBPK_323650.1,LdBPK_341450.1,LdBPK_351190.1,LdBPK_361550.1,LdBPK_364060.1,LdBPK_365480.1,LdBPK_366260.1,	17.9	1.44	1.56	0.0277528990225	0.362770037222	1.0
GO:0071944	cell periphery	85	17	LdBPK_040060.1,LdBPK_050380.1,LdBPK_060090.1,LdBPK_100510.1,LdBPK_131430.1,LdBPK_161570.1,LdBPK_190100.1,LdBPK_190530.1,LdBPK_211460.1,LdBPK_220290.1,LdBPK_260920.1,LdBPK_280600.1,LdBPK_290110.1,LdBPK_310450.1,LdBPK_362570.1,LdBPK_365150.1,LdBPK_366560.1,	20.0	1.61	1.78	0.0307590883789	0.375260878222	1.0
GO:0000794	condensed nuclear chromosome	3	2	LdBPK_130230.1,LdBPK_151040.1,	66.7	5.36	14.1	0.0425947667659	0.431670583164	1.0
GO:0032154	cleavage furrow	3	2	LdBPK_161570.1,LdBPK_211460.1,	66.7	5.36	14.1	0.0425947667659	0.431670583164	1.0
GO:0032153	cell division site	3	2	LdBPK_161570.1,LdBPK_211460.1,	66.7	5.36	14.1	0.0425947667659	0.431670583164	1.0
GO:0015629	actin cytoskeleton	7	3	LdBPK_050290.1,LdBPK_101080.1,LdBPK_180920.1,	42.9	3.44	5.29	0.0457219668861	0.431670583164	1.0
GO:0097542	ciliary tip	22	6	LdBPK_050850.1,LdBPK_091371.1,LdBPK_160160.1,LdBPK_211270.1,LdBPK_250430.1,LdBPK_354930.1,	27.3	2.19	2.65	0.0471771129141	0.431670583164	1.0
