ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016021	integral component of membrane	1307	263	LdBPK_010460.1,LdBPK_010590.1,LdBPK_020200.1,LdBPK_020300.1,LdBPK_030250.1,LdBPK_030390.1,LdBPK_030460.1,LdBPK_030530.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040010.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_044290.1,LdBPK_044300.1,LdBPK_050930.1,LdBPK_051030.1,LdBPK_060310.1,LdBPK_060350.1,LdBPK_060530.1,LdBPK_060660.1,LdBPK_060780.1,LdBPK_060820.1,LdBPK_061030.1,LdBPK_061320.1,LdBPK_070490.1,LdBPK_070600.1,LdBPK_070860.1,LdBPK_071040.1,LdBPK_071310.1,LdBPK_080210.1,LdBPK_080470.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080710.1,LdBPK_090130.1,LdBPK_090540.1,LdBPK_090660.1,LdBPK_090840.1,LdBPK_091400.1,LdBPK_100070.1,LdBPK_100230.1,LdBPK_100250.1,LdBPK_100720.1,LdBPK_100760.1,LdBPK_101270.1,LdBPK_110300.1,LdBPK_110520.1,LdBPK_110530.1,LdBPK_111090.1,LdBPK_111280.1,LdBPK_111310.1,LdBPK_120075.1,LdBPK_120140.1,LdBPK_120265.1,LdBPK_120320.1,LdBPK_120810.1,LdBPK_130020.1,LdBPK_130110.1,LdBPK_130490.1,LdBPK_130900.1,LdBPK_131170.1,LdBPK_131340.1,LdBPK_131480.1,LdBPK_140500.1,LdBPK_140520.1,LdBPK_140540.1,LdBPK_140560.1,LdBPK_140740.1,LdBPK_140760.1,LdBPK_140770.1,LdBPK_141160.1,LdBPK_141420.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150780.1,LdBPK_151460.1,LdBPK_161030a.1,LdBPK_161060.1,LdBPK_170130.1,LdBPK_170140.1,LdBPK_170980.1,LdBPK_171310.1,LdBPK_171550.1,LdBPK_180130.1,LdBPK_180400.1,LdBPK_180440.1,LdBPK_181030.1,LdBPK_181610.1,LdBPK_190490.1,LdBPK_190570.1,LdBPK_190770.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_200170.1,LdBPK_200640.1,LdBPK_210970.1,LdBPK_211370.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211660.1,LdBPK_211930.1,LdBPK_211940.1,LdBPK_212150.1,LdBPK_220130.1,LdBPK_220760.1,LdBPK_220870.1,LdBPK_230190.1,LdBPK_230270.1,LdBPK_231000.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231920.1,LdBPK_240060.1,LdBPK_240070.1,LdBPK_240110.1,LdBPK_240330.1,LdBPK_240700.1,LdBPK_240920.1,LdBPK_241450.1,LdBPK_241510.1,LdBPK_241770.1,LdBPK_242280.1,LdBPK_250930.1,LdBPK_251200.1,LdBPK_251690.1,LdBPK_252360.1,LdBPK_252490.1,LdBPK_260110.1,LdBPK_260210.1,LdBPK_260330.1,LdBPK_260430.1,LdBPK_260530.1,LdBPK_260580.1,LdBPK_260960.1,LdBPK_261180.1,LdBPK_261290.1,LdBPK_261390.1,LdBPK_261860.1,LdBPK_262480.1,LdBPK_270020.1,LdBPK_270270.1,LdBPK_270650.1,LdBPK_271430.1,LdBPK_271830.1,LdBPK_280130.1,LdBPK_280270.1,LdBPK_280490.1,LdBPK_280760.1,LdBPK_281220.1,LdBPK_282250.1,LdBPK_282350.1,LdBPK_290870.1,LdBPK_291430.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291640.1,LdBPK_291770.1,LdBPK_292250.1,LdBPK_292380.1,LdBPK_292390.1,LdBPK_300150.1,LdBPK_300290.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300410.1,LdBPK_301450.1,LdBPK_301480.1,LdBPK_301630.1,LdBPK_302060.1,LdBPK_302950.1,LdBPK_303330.1,LdBPK_310600.1,LdBPK_310840.1,LdBPK_311220.1,LdBPK_311490.1,LdBPK_312120.1,LdBPK_312540.1,LdBPK_312830.1,LdBPK_320010.1,LdBPK_320090.1,LdBPK_320230.1,LdBPK_320380.1,LdBPK_321100.1,LdBPK_321230.1,LdBPK_321600.1,LdBPK_321960.1,LdBPK_322500.1,LdBPK_322700.1,LdBPK_323020.1,LdBPK_323570.1,LdBPK_323620.1,LdBPK_323750.1,LdBPK_330100.1,LdBPK_330170.1,LdBPK_330760.1,LdBPK_330920.1,LdBPK_331360.1,LdBPK_331690.1,LdBPK_332140.1,LdBPK_332210.1,LdBPK_332340.1,LdBPK_333000.1,LdBPK_333420.1,LdBPK_340290.1,LdBPK_340740.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341270.1,LdBPK_341320.1,LdBPK_341670.1,LdBPK_341700.1,LdBPK_342250.1,LdBPK_342260.1,LdBPK_342970.1,LdBPK_343020.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_343680.1,LdBPK_343850.1,LdBPK_343910.1,LdBPK_350620.1,LdBPK_350720.1,LdBPK_350950.1,LdBPK_351150.1,LdBPK_351510.1,LdBPK_351610.1,LdBPK_351830.1,LdBPK_352630.1,LdBPK_352830.1,LdBPK_353050.1,LdBPK_353070.1,LdBPK_353080.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353760.1,LdBPK_353820.1,LdBPK_354040.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354490.1,LdBPK_354850.1,LdBPK_360390.1,LdBPK_360580.1,LdBPK_360680.1,LdBPK_360970.1,LdBPK_361140.1,LdBPK_361260.1,LdBPK_361830.1,LdBPK_361910.1,LdBPK_363330.1,LdBPK_363400.1,LdBPK_364050.1,LdBPK_364330.1,LdBPK_365460.1,LdBPK_365750.1,LdBPK_366350.1,LdBPK_366820.1,LdBPK_366930.1,LdBPK_367030.1,LdBPK_367310.1,	20.1	1.2	1.35	0.000145087462253	0.0205298759088	0.0410597518176
GO:0031224	intrinsic component of membrane	1307	263	LdBPK_010460.1,LdBPK_010590.1,LdBPK_020200.1,LdBPK_020300.1,LdBPK_030250.1,LdBPK_030390.1,LdBPK_030460.1,LdBPK_030530.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040010.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_044290.1,LdBPK_044300.1,LdBPK_050930.1,LdBPK_051030.1,LdBPK_060310.1,LdBPK_060350.1,LdBPK_060530.1,LdBPK_060660.1,LdBPK_060780.1,LdBPK_060820.1,LdBPK_061030.1,LdBPK_061320.1,LdBPK_070490.1,LdBPK_070600.1,LdBPK_070860.1,LdBPK_071040.1,LdBPK_071310.1,LdBPK_080210.1,LdBPK_080470.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080710.1,LdBPK_090130.1,LdBPK_090540.1,LdBPK_090660.1,LdBPK_090840.1,LdBPK_091400.1,LdBPK_100070.1,LdBPK_100230.1,LdBPK_100250.1,LdBPK_100720.1,LdBPK_100760.1,LdBPK_101270.1,LdBPK_110300.1,LdBPK_110520.1,LdBPK_110530.1,LdBPK_111090.1,LdBPK_111280.1,LdBPK_111310.1,LdBPK_120075.1,LdBPK_120140.1,LdBPK_120265.1,LdBPK_120320.1,LdBPK_120810.1,LdBPK_130020.1,LdBPK_130110.1,LdBPK_130490.1,LdBPK_130900.1,LdBPK_131170.1,LdBPK_131340.1,LdBPK_131480.1,LdBPK_140500.1,LdBPK_140520.1,LdBPK_140540.1,LdBPK_140560.1,LdBPK_140740.1,LdBPK_140760.1,LdBPK_140770.1,LdBPK_141160.1,LdBPK_141420.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150780.1,LdBPK_151460.1,LdBPK_161030a.1,LdBPK_161060.1,LdBPK_170130.1,LdBPK_170140.1,LdBPK_170980.1,LdBPK_171310.1,LdBPK_171550.1,LdBPK_180130.1,LdBPK_180400.1,LdBPK_180440.1,LdBPK_181030.1,LdBPK_181610.1,LdBPK_190490.1,LdBPK_190570.1,LdBPK_190770.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_200170.1,LdBPK_200640.1,LdBPK_210970.1,LdBPK_211370.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211660.1,LdBPK_211930.1,LdBPK_211940.1,LdBPK_212150.1,LdBPK_220130.1,LdBPK_220760.1,LdBPK_220870.1,LdBPK_230190.1,LdBPK_230270.1,LdBPK_231000.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231920.1,LdBPK_240060.1,LdBPK_240070.1,LdBPK_240110.1,LdBPK_240330.1,LdBPK_240700.1,LdBPK_240920.1,LdBPK_241450.1,LdBPK_241510.1,LdBPK_241770.1,LdBPK_242280.1,LdBPK_250930.1,LdBPK_251200.1,LdBPK_251690.1,LdBPK_252360.1,LdBPK_252490.1,LdBPK_260110.1,LdBPK_260210.1,LdBPK_260330.1,LdBPK_260430.1,LdBPK_260530.1,LdBPK_260580.1,LdBPK_260960.1,LdBPK_261180.1,LdBPK_261290.1,LdBPK_261390.1,LdBPK_261860.1,LdBPK_262480.1,LdBPK_270020.1,LdBPK_270270.1,LdBPK_270650.1,LdBPK_271430.1,LdBPK_271830.1,LdBPK_280130.1,LdBPK_280270.1,LdBPK_280490.1,LdBPK_280760.1,LdBPK_281220.1,LdBPK_282250.1,LdBPK_282350.1,LdBPK_290870.1,LdBPK_291430.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291640.1,LdBPK_291770.1,LdBPK_292250.1,LdBPK_292380.1,LdBPK_292390.1,LdBPK_300150.1,LdBPK_300290.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300410.1,LdBPK_301450.1,LdBPK_301480.1,LdBPK_301630.1,LdBPK_302060.1,LdBPK_302950.1,LdBPK_303330.1,LdBPK_310600.1,LdBPK_310840.1,LdBPK_311220.1,LdBPK_311490.1,LdBPK_312120.1,LdBPK_312540.1,LdBPK_312830.1,LdBPK_320010.1,LdBPK_320090.1,LdBPK_320230.1,LdBPK_320380.1,LdBPK_321100.1,LdBPK_321230.1,LdBPK_321600.1,LdBPK_321960.1,LdBPK_322500.1,LdBPK_322700.1,LdBPK_323020.1,LdBPK_323570.1,LdBPK_323620.1,LdBPK_323750.1,LdBPK_330100.1,LdBPK_330170.1,LdBPK_330760.1,LdBPK_330920.1,LdBPK_331360.1,LdBPK_331690.1,LdBPK_332140.1,LdBPK_332210.1,LdBPK_332340.1,LdBPK_333000.1,LdBPK_333420.1,LdBPK_340290.1,LdBPK_340740.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341270.1,LdBPK_341320.1,LdBPK_341670.1,LdBPK_341700.1,LdBPK_342250.1,LdBPK_342260.1,LdBPK_342970.1,LdBPK_343020.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_343680.1,LdBPK_343850.1,LdBPK_343910.1,LdBPK_350620.1,LdBPK_350720.1,LdBPK_350950.1,LdBPK_351150.1,LdBPK_351510.1,LdBPK_351610.1,LdBPK_351830.1,LdBPK_352630.1,LdBPK_352830.1,LdBPK_353050.1,LdBPK_353070.1,LdBPK_353080.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353760.1,LdBPK_353820.1,LdBPK_354040.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354490.1,LdBPK_354850.1,LdBPK_360390.1,LdBPK_360580.1,LdBPK_360680.1,LdBPK_360970.1,LdBPK_361140.1,LdBPK_361260.1,LdBPK_361830.1,LdBPK_361910.1,LdBPK_363330.1,LdBPK_363400.1,LdBPK_364050.1,LdBPK_364330.1,LdBPK_365460.1,LdBPK_365750.1,LdBPK_366350.1,LdBPK_366820.1,LdBPK_366930.1,LdBPK_367030.1,LdBPK_367310.1,	20.1	1.2	1.35	0.000145087462253	0.0205298759088	0.0410597518176
GO:0016020	membrane	1537	291	LdBPK_010460.1,LdBPK_010590.1,LdBPK_020130.1,LdBPK_020200.1,LdBPK_020300.1,LdBPK_030250.1,LdBPK_030390.1,LdBPK_030460.1,LdBPK_030530.1,LdBPK_030800.1,LdBPK_030970.1,LdBPK_040010.1,LdBPK_040160.1,LdBPK_040370.1,LdBPK_040500.1,LdBPK_044290.1,LdBPK_044300.1,LdBPK_050600.1,LdBPK_050930.1,LdBPK_051030.1,LdBPK_060090.1,LdBPK_060310.1,LdBPK_060350.1,LdBPK_060530.1,LdBPK_060660.1,LdBPK_060780.1,LdBPK_060820.1,LdBPK_061030.1,LdBPK_061320.1,LdBPK_070060.1,LdBPK_070490.1,LdBPK_070600.1,LdBPK_070860.1,LdBPK_071040.1,LdBPK_071310.1,LdBPK_080210.1,LdBPK_080470.1,LdBPK_080590.1,LdBPK_080600.1,LdBPK_080710.1,LdBPK_081050.1,LdBPK_090130.1,LdBPK_090540.1,LdBPK_090660.1,LdBPK_090840.1,LdBPK_091400.1,LdBPK_091580.1,LdBPK_100070.1,LdBPK_100230.1,LdBPK_100250.1,LdBPK_100720.1,LdBPK_100760.1,LdBPK_101270.1,LdBPK_110300.1,LdBPK_110520.1,LdBPK_110530.1,LdBPK_111090.1,LdBPK_111280.1,LdBPK_111310.1,LdBPK_120075.1,LdBPK_120140.1,LdBPK_120265.1,LdBPK_120320.1,LdBPK_120810.1,LdBPK_130020.1,LdBPK_130110.1,LdBPK_130490.1,LdBPK_130900.1,LdBPK_131170.1,LdBPK_131340.1,LdBPK_131480.1,LdBPK_140500.1,LdBPK_140520.1,LdBPK_140540.1,LdBPK_140560.1,LdBPK_140740.1,LdBPK_140760.1,LdBPK_140770.1,LdBPK_141160.1,LdBPK_141420.1,LdBPK_141500.1,LdBPK_150550.1,LdBPK_150780.1,LdBPK_151020.1,LdBPK_151460.1,LdBPK_161030a.1,LdBPK_161060.1,LdBPK_161380.1,LdBPK_161550.1,LdBPK_161630.1,LdBPK_161670.1,LdBPK_170130.1,LdBPK_170140.1,LdBPK_170980.1,LdBPK_171110.1,LdBPK_171310.1,LdBPK_171550.1,LdBPK_180130.1,LdBPK_180400.1,LdBPK_180440.1,LdBPK_181030.1,LdBPK_181610.1,LdBPK_190490.1,LdBPK_190570.1,LdBPK_190740.1,LdBPK_190770.1,LdBPK_190840.1,LdBPK_191350.1,LdBPK_191370.1,LdBPK_200170.1,LdBPK_200640.1,LdBPK_210970.1,LdBPK_211370.1,LdBPK_211620.1,LdBPK_211630.1,LdBPK_211660.1,LdBPK_211930.1,LdBPK_211940.1,LdBPK_212150.1,LdBPK_212210.1,LdBPK_220130.1,LdBPK_220760.1,LdBPK_220870.1,LdBPK_230190.1,LdBPK_230270.1,LdBPK_231000.1,LdBPK_231010.1,LdBPK_231020.1,LdBPK_231920.1,LdBPK_240060.1,LdBPK_240070.1,LdBPK_240110.1,LdBPK_240330.1,LdBPK_240700.1,LdBPK_240920.1,LdBPK_241450.1,LdBPK_241510.1,LdBPK_241770.1,LdBPK_242280.1,LdBPK_250930.1,LdBPK_251200.1,LdBPK_251690.1,LdBPK_252360.1,LdBPK_252490.1,LdBPK_260110.1,LdBPK_260210.1,LdBPK_260330.1,LdBPK_260430.1,LdBPK_260530.1,LdBPK_260580.1,LdBPK_260960.1,LdBPK_261180.1,LdBPK_261290.1,LdBPK_261390.1,LdBPK_261860.1,LdBPK_262480.1,LdBPK_270020.1,LdBPK_270270.1,LdBPK_270650.1,LdBPK_271430.1,LdBPK_271830.1,LdBPK_280130.1,LdBPK_280270.1,LdBPK_280490.1,LdBPK_280760.1,LdBPK_281220.1,LdBPK_282250.1,LdBPK_282350.1,LdBPK_290870.1,LdBPK_291430.1,LdBPK_291580.1,LdBPK_291620.1,LdBPK_291640.1,LdBPK_291770.1,LdBPK_292220.1,LdBPK_292250.1,LdBPK_292380.1,LdBPK_292390.1,LdBPK_300150.1,LdBPK_300290.1,LdBPK_300320.1,LdBPK_300390.1,LdBPK_300410.1,LdBPK_301100.1,LdBPK_301160.1,LdBPK_301450.1,LdBPK_301480.1,LdBPK_301630.1,LdBPK_302060.1,LdBPK_302950.1,LdBPK_303330.1,LdBPK_303660.1,LdBPK_310600.1,LdBPK_310840.1,LdBPK_311220.1,LdBPK_311490.1,LdBPK_312000.1,LdBPK_312120.1,LdBPK_312540.1,LdBPK_312830.1,LdBPK_320010.1,LdBPK_320090.1,LdBPK_320230.1,LdBPK_320380.1,LdBPK_320870.1,LdBPK_321100.1,LdBPK_321230.1,LdBPK_321300.1,LdBPK_321600.1,LdBPK_321810.1,LdBPK_321960.1,LdBPK_322160.1,LdBPK_322500.1,LdBPK_322700.1,LdBPK_323020.1,LdBPK_323570.1,LdBPK_323620.1,LdBPK_323750.1,LdBPK_330100.1,LdBPK_330170.1,LdBPK_330760.1,LdBPK_330920.1,LdBPK_331360.1,LdBPK_331690.1,LdBPK_332140.1,LdBPK_332210.1,LdBPK_332340.1,LdBPK_333000.1,LdBPK_333420.1,LdBPK_340290.1,LdBPK_340740.1,LdBPK_341010.1,LdBPK_341020.1,LdBPK_341270.1,LdBPK_341320.1,LdBPK_341670.1,LdBPK_341700.1,LdBPK_342250.1,LdBPK_342260.1,LdBPK_342910.1,LdBPK_342970.1,LdBPK_343020.1,LdBPK_343410.1,LdBPK_343420.1,LdBPK_343430.1,LdBPK_343680.1,LdBPK_343850.1,LdBPK_343910.1,LdBPK_350620.1,LdBPK_350720.1,LdBPK_350950.1,LdBPK_351150.1,LdBPK_351510.1,LdBPK_351610.1,LdBPK_351830.1,LdBPK_352630.1,LdBPK_352830.1,LdBPK_353050.1,LdBPK_353070.1,LdBPK_353080.1,LdBPK_353220.1,LdBPK_353240.1,LdBPK_353760.1,LdBPK_353820.1,LdBPK_354040.1,LdBPK_354210.1,LdBPK_354260.1,LdBPK_354360.1,LdBPK_354490.1,LdBPK_354850.1,LdBPK_360390.1,LdBPK_360580.1,LdBPK_360680.1,LdBPK_360970.1,LdBPK_361140.1,LdBPK_361260.1,LdBPK_361830.1,LdBPK_361910.1,LdBPK_363330.1,LdBPK_363400.1,LdBPK_364050.1,LdBPK_364330.1,LdBPK_365360.1,LdBPK_365460.1,LdBPK_365750.1,LdBPK_366350.1,LdBPK_366820.1,LdBPK_366930.1,LdBPK_367030.1,LdBPK_367070.1,LdBPK_367310.1,	18.9	1.13	1.23	0.00429170910776	0.404851225832	1.0
GO:0020016	ciliary pocket	73	19	LdBPK_030390.1,LdBPK_060090.1,LdBPK_091580.1,LdBPK_111090.1,LdBPK_161550.1,LdBPK_190490.1,LdBPK_211630.1,LdBPK_230040.1,LdBPK_240060.1,LdBPK_251200.1,LdBPK_271080.1,LdBPK_272040.1,LdBPK_301890.1,LdBPK_321300.1,LdBPK_322890.1,LdBPK_341270.1,LdBPK_343020.1,LdBPK_343760.1,LdBPK_367230.1,	26.0	1.56	1.77	0.0283744210684	0.999999962955	1.0
GO:0005814	centriole	5	3	LdBPK_231370.1,LdBPK_362830.1,LdBPK_365220.1,	60.0	3.59	7.49	0.0357882692841	0.999999962955	1.0
